starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	1	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	1	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	1	0	1	0
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
Mon Oct 31 17:39:30 2022	1667252370	0	1	1	1
